철도운영기관명,선명,역명,지상구분,역층,게이트내외,출구번호,상세위치,화장실구분
공항철도주식회사,공항철도,검암,지상,1,내,1,지상1층 대합실,여자
공항철도주식회사,공항철도,검암,지상,1,내,1,지상1층 대합실,남자
공항철도주식회사,공항철도,계양,지상,1,내,1,지상1층 역무실 우측,여자
공항철도주식회사,공항철도,계양,지상,1,내,1,지상1층 역무실 우측,남자
공항철도주식회사,공항철도,계양,지상,1,내,1,지상1층 역무실 좌측,남자
공항철도주식회사,공항철도,계양,지상,1,내,1,지상1층 역무실 좌측,여자
공항철도주식회사,공항철도,공덕,지하,3,내,10,지하3층 대합실,여자
공항철도주식회사,공항철도,공덕,지하,3,외,10,지하3층 대합실 E/L 1 2호기 뒤,남자
공항철도주식회사,공항철도,공덕,지하,3,내,10,지하3층 대합실,남자
공항철도주식회사,공항철도,공덕,지하,3,외,10,지하3층 대합실 E/L 1 2호기 뒤,여자
공항철도주식회사,공항철도,공항화물청사,지하,1,내,1.2,지상1층 E/L 1호기 뒤,여자
공항철도주식회사,공항철도,공항화물청사,지하,1,내,1.2,지상1층 E/L 1호기 뒤,남자
공항철도주식회사,공항철도,김포공항,지하,1,외,4,지하1층 대합실 4번 출구 옆,남자
공항철도주식회사,공항철도,김포공항,지하,1,외,4,지하1층 대합실 4번 출구 옆,여자
공항철도주식회사,공항철도,디지털미디어시티,지하,1,내,8 9,지하1층 대합실,여자
공항철도주식회사,공항철도,디지털미디어시티,지하,1,내,8 9,지하1층 대합실,남자
공항철도주식회사,공항철도,마곡나루,지하,1,내,3 4 5,지하1층 대합실,남자
공항철도주식회사,공항철도,마곡나루,지하,1,내,3 4 5,지하1층 대합실,여자
공항철도주식회사,공항철도,서울역,지하,3,외,15,지하3층 대합실 내 역무실 옆,남자
공항철도주식회사,공항철도,서울역,지하,3,내,15,지하3층 대합실,남자
공항철도주식회사,공항철도,서울역,지하,2,외,15,지하2층 도심공항터미널 로비,남자
공항철도주식회사,공항철도,서울역,지하,3,외,15,지하3층 대합실 내 역무실 옆,여자
공항철도주식회사,공항철도,서울역,지하,2,외,15,지하2층 도심공항터미널 로비,여자
공항철도주식회사,공항철도,서울역,지하,3,내,15,지하3층 대합실,여자
공항철도주식회사,공항철도,영종,지상,3,외,1,지상3층 대합실 1번출구 방면,여자
공항철도주식회사,공항철도,영종,지상,3,외,1,지상3층 대합실 1번출구 방면,남자
공항철도주식회사,공항철도,운서,지상,1,외,1,지상1층 1번 출구 방면,남자
공항철도주식회사,공항철도,운서,지상,1,내,1,지상1층 상선 후미 방면,여자
공항철도주식회사,공항철도,운서,지상,1,외,1,지상1층 1번 출구 방면,여자
공항철도주식회사,공항철도,운서,지상,1,내,1,지상1층 상선 후미 방면,남자
공항철도주식회사,공항철도,청라국제도시,지상,1,외,1 2,지상1층 역무실 옆,여자
공항철도주식회사,공항철도,청라국제도시,지상,1,외,1 2,지상1층 역무실 옆,남자
공항철도주식회사,공항철도,홍대입구,지하,2,내,5,지하2층 대합실 역무실 앞,남자
공항철도주식회사,공항철도,홍대입구,지하,2,내,5,지하2층 대합실 역무실 앞,여자
